pattern,arch,n_threads,minimal_fence,coarse_fence,minimal_cost,coarse_cost,savings_pct
2+2w,arm,3,dmb ishst (T0); dmb ishst (T1); dmb ishld (T2),dmb ish (all threads),4,12,66.7
2+2w,riscv,3,"fence w,w (T0); fence w,w (T1); fence r,r (T2)","fence rw,rw (all threads)",3,12,75.0
3sb,arm,4,dmb ish (T0); dmb ish (T1); dmb ish (T2); dmb ish (T3),dmb ish (all threads),16,16,0.0
3sb,riscv,4,"fence w,r (T0); fence w,r (T1); fence w,r (T2); fence w,r (T3)","fence rw,rw (all threads)",8,16,50.0
dekker,arm,2,dmb ish (T0); dmb ish (T1),dmb ish (all threads),8,8,0.0
dekker,riscv,2,"fence rw,rw (T0); fence rw,rw (T1)","fence rw,rw (all threads)",8,8,0.0
gpu_2plus2w_xwg,arm,3,dmb ishst (T0); dmb ishst (T1); dmb ishld (T2),dmb ish (all threads),4,12,66.7
gpu_2plus2w_xwg,riscv,3,"fence w,w (T0); fence w,w (T1); fence r,r (T2)","fence rw,rw (all threads)",3,12,75.0
iriw,arm,4,dmb ishld (T2); dmb ishld (T3),dmb ish (all threads),4,16,75.0
iriw,riscv,4,"fence r,r (T2); fence r,r (T3)","fence rw,rw (all threads)",2,16,87.5
isa2,arm,3,dmb ishld,dmb ish (all threads),6,12,50.0
isa2,riscv,3,"fence r,r","fence rw,rw (all threads)",3,12,75.0
lb,arm,2,dmb ishld (T0); dmb ishld (T1),dmb ish (all threads),4,8,50.0
lb,riscv,2,"fence r,w (T0); fence r,w (T1)","fence rw,rw (all threads)",2,8,75.0
mp,arm,2,dmb ishst (T0); dmb ishld (T1),dmb ish (all threads),3,8,62.5
mp,riscv,2,"fence w,w (T0); fence r,r (T1)","fence rw,rw (all threads)",2,8,75.0
mp_3thread,arm,3,dmb ishld,dmb ish (all threads),6,12,50.0
mp_3thread,riscv,3,"fence r,r","fence rw,rw (all threads)",3,12,75.0
mp_addr,arm,2,dmb ishst,dmb ish (all threads),2,8,75.0
mp_addr,riscv,2,"fence w,w","fence rw,rw (all threads)",2,8,75.0
mp_co,arm,3,dmb ishst (T0); dmb ish (T1); dmb ishld (T2),dmb ish (all threads),7,12,41.7
mp_co,riscv,3,"fence w,w (T0); fence w,r (T1); fence r,r (T2)","fence rw,rw (all threads)",4,12,66.7
mp_data,arm,2,dmb ish (T0); dmb ishld (T1),dmb ish (all threads),6,8,25.0
mp_data,riscv,2,"fence rw,rw (T0); fence r,r (T1)","fence rw,rw (all threads)",5,8,37.5
mp_dmb_ld,arm,2,dmb ishst,dmb ish (all threads),2,8,75.0
mp_dmb_ld,riscv,2,"fence w,w","fence rw,rw (all threads)",2,8,75.0
mp_dmb_st,arm,2,dmb ishld,dmb ish (all threads),4,8,50.0
mp_dmb_st,riscv,2,"fence r,r","fence rw,rw (all threads)",2,8,75.0
mp_fence_wr,riscv,2,"fence w,w","fence rw,rw (all threads)",2,8,75.0
mp_rfi,arm,2,dmb ish (T0); dmb ishld (T1),dmb ish (all threads),6,8,25.0
mp_rfi,riscv,2,"fence rw,rw (T0); fence r,r (T1)","fence rw,rw (all threads)",5,8,37.5
peterson,arm,2,dmb ish (T0); dmb ish (T1),dmb ish (all threads),8,8,0.0
peterson,riscv,2,"fence rw,rw (T0); fence rw,rw (T1)","fence rw,rw (all threads)",8,8,0.0
r,arm,3,dmb ishld,dmb ish (all threads),6,12,50.0
r,riscv,3,"fence r,r","fence rw,rw (all threads)",3,12,75.0
rwc,arm,3,dmb ishld (T1); dmb ish (T2),dmb ish (all threads),6,12,50.0
rwc,riscv,3,"fence r,r (T1); fence w,r (T2)","fence rw,rw (all threads)",3,12,75.0
s,arm,2,dmb ishst (T0); dmb ishld (T1),dmb ish (all threads),3,8,62.5
s,riscv,2,"fence w,w (T0); fence r,w (T1)","fence rw,rw (all threads)",2,8,75.0
sb,arm,2,dmb ish (T0); dmb ish (T1),dmb ish (all threads),8,8,0.0
sb,riscv,2,"fence w,r (T0); fence w,r (T1)","fence rw,rw (all threads)",4,8,50.0
sb_3thread,arm,3,dmb ish (T0); dmb ish (T1); dmb ish (T2),dmb ish (all threads),12,12,0.0
sb_3thread,riscv,3,"fence w,r (T0); fence w,r (T1); fence w,r (T2)","fence rw,rw (all threads)",6,12,50.0
sb_rfi,arm,2,dmb ish (T0); dmb ish (T1),dmb ish (all threads),8,8,0.0
sb_rfi,riscv,2,"fence rw,rw (T0); fence w,r (T1)","fence rw,rw (all threads)",6,8,25.0
wrc,arm,3,dmb ishld (T1); dmb ishld (T2),dmb ish (all threads),4,12,66.7
wrc,riscv,3,"fence r,w (T1); fence r,r (T2)","fence rw,rw (all threads)",2,12,83.3
wrc_addr,arm,3,dmb ishld,dmb ish (all threads),6,12,50.0
wrc_addr,riscv,3,"fence r,w","fence rw,rw (all threads)",3,12,75.0
