pattern,bug_type,cpu_safe,gpu_wg_safe,gpu_dev_safe,severity
lb_data,scope_mismatch_all_gpu,True,False,False,critical
gpu_mp_scope_mismatch_dev,scope_mismatch_all_gpu,True,False,False,critical
gpu_sb_dev,scope_mismatch_wg_only,True,False,True,warning
gpu_sb_scope_mismatch,scope_mismatch_all_gpu,True,False,False,critical
gpu_wrc_dev,scope_mismatch_wg_only,True,False,True,warning
gpu_iriw_dev,scope_mismatch_wg_only,True,False,True,warning
gpu_iriw_scope_mismatch,scope_mismatch_all_gpu,True,False,False,critical
gpu_rwc_dev,scope_mismatch_wg_only,True,False,True,warning
gpu_mp_dev,scope_mismatch_wg_only,True,False,True,warning
gpu_barrier_scope_mismatch,scope_mismatch_all_gpu,True,False,False,critical
gpu_release_acquire,scope_mismatch_all_gpu,True,False,False,critical
