pattern,x86,sparc,arm,riscv,opencl_wg,opencl_dev,vulkan_wg,vulkan_dev,ptx_cta,ptx_gpu
mp,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
sb,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
lb,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
iriw,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
2+2w,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
rwc,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
wrc,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_fence,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
sb_fence,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
isa2,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
r,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_data,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_3thread,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_rfi,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
sb_3thread,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
lb_fence,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
corr,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
cowr,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
coww,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
corw,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
iriw_fence,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
wrc_fence,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
rwc_fence,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
s,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_addr,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
sb_rfi,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
dekker,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
peterson,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_co,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
3sb,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
amoswap,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
mp_dmb_st,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_dmb_ld,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
mp_fence_ww_rr,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
sb_fence_wr,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
lb_fence_rw,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
mp_fence_wr,Safe,Safe,Safe,Allowed,Safe,Safe,Safe,Safe,Safe,Safe
lb_data,Safe,Safe,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
wrc_addr,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
gpu_mp_scope_mismatch_dev,Safe,Safe,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
gpu_sb_dev,Safe,Safe,Safe,Safe,Allowed,Safe,Allowed,Safe,Allowed,Safe
gpu_sb_scope_mismatch,Safe,Safe,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
gpu_lb_wg,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_wrc_dev,Safe,Safe,Safe,Safe,Allowed,Safe,Allowed,Safe,Allowed,Safe
gpu_iriw_dev,Safe,Safe,Safe,Safe,Allowed,Safe,Allowed,Safe,Allowed,Safe
gpu_iriw_scope_mismatch,Safe,Safe,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
gpu_2plus2w_xwg,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
gpu_rwc_dev,Safe,Safe,Safe,Safe,Allowed,Safe,Allowed,Safe,Allowed,Safe
gpu_3_wg_barrier,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_mp_wg,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_mp_dev,Safe,Safe,Safe,Safe,Allowed,Safe,Allowed,Safe,Allowed,Safe
gpu_sb_wg,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_coherence_rr_xwg,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_coherence_wr,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_iriw_wg,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
gpu_barrier_scope_mismatch,Safe,Safe,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
gpu_release_acquire,Safe,Safe,Safe,Safe,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
