pattern,n_threads,n_addresses,n_loads,total_outcomes,orbits,compression_ratio,automorphism_group_size
3sb,4,4,4,16,6,2.67,4
sb_3thread,3,3,3,8,4,2.0,3
iriw,4,2,4,16,10,1.6,2
iriw_fence,4,2,4,16,10,1.6,2
dekker,2,3,4,16,10,1.6,2
gpu_iriw_dev,4,2,4,16,10,1.6,2
gpu_iriw_scope_mismatch,4,2,4,16,10,1.6,2
gpu_iriw_wg,4,2,4,16,10,1.6,2
sb,2,2,2,4,3,1.33,2
lb,2,2,2,4,3,1.33,2
sb_fence,2,2,2,4,3,1.33,2
lb_fence,2,2,2,4,3,1.33,2
sb_fence_wr,2,2,2,4,3,1.33,2
lb_fence_rw,2,2,2,4,3,1.33,2
lb_data,2,2,2,4,3,1.33,2
gpu_sb_dev,2,2,2,4,3,1.33,2
gpu_sb_scope_mismatch,2,2,2,4,3,1.33,2
gpu_lb_wg,2,2,2,4,3,1.33,2
gpu_sb_wg,2,2,2,4,3,1.33,2
mp,2,2,2,4,4,1.0,1
2+2w,3,2,2,4,4,1.0,1
rwc,3,2,3,8,8,1.0,1
wrc,3,2,3,8,8,1.0,1
mp_fence,2,2,2,4,4,1.0,1
isa2,3,2,3,8,8,1.0,1
r,3,2,3,8,8,1.0,1
mp_data,2,3,3,8,8,1.0,1
mp_3thread,3,2,2,4,4,1.0,1
mp_rfi,2,2,3,8,8,1.0,1
corr,2,1,2,4,4,1.0,1
cowr,2,1,1,2,2,1.0,1
coww,3,1,1,2,2,1.0,1
corw,2,1,1,2,2,1.0,1
wrc_fence,3,2,3,8,8,1.0,1
rwc_fence,3,2,3,8,8,1.0,1
s,2,2,1,2,2,1.0,1
mp_addr,2,2,2,4,4,1.0,1
sb_rfi,2,2,3,8,8,1.0,1
peterson,2,3,4,16,16,1.0,1
mp_co,3,2,3,8,8,1.0,1
amoswap,2,1,2,4,4,1.0,1
mp_dmb_st,2,2,2,4,4,1.0,1
mp_dmb_ld,2,2,2,4,4,1.0,1
mp_fence_ww_rr,2,2,2,4,4,1.0,1
mp_fence_wr,2,2,2,4,4,1.0,1
wrc_addr,3,2,3,8,8,1.0,1
gpu_mp_scope_mismatch_dev,2,2,2,4,4,1.0,1
gpu_wrc_dev,3,2,3,8,8,1.0,1
gpu_2plus2w_xwg,3,2,2,4,4,1.0,1
gpu_rwc_dev,3,2,3,8,8,1.0,1
gpu_3_wg_barrier,3,3,3,8,8,1.0,1
gpu_mp_wg,2,2,2,4,4,1.0,1
gpu_mp_dev,2,2,2,4,4,1.0,1
gpu_coherence_rr_xwg,2,1,2,4,4,1.0,1
gpu_coherence_wr,1,1,1,2,2,1.0,1
gpu_barrier_scope_mismatch,2,2,2,4,4,1.0,1
gpu_release_acquire,2,2,2,4,4,1.0,1
